Elemen;Satuan;2015;2016;2017
Alpokat;Ton;28161;37049;7593
Mangga;Ton;65708;25740;6835
Salak;Ton;17968;19090;1282
Duku;Ton;13543;13690;188
Jambu Air;Ton;1730;2394;1056
Durian;Ton;41020;54192;3623
Rambutan;Ton;163972;93458;11861
Jeruk Siam;Ton;12596;46659;8124
Jeruk besar;Ton;283;362;298
Nanas;Ton;164372;241824;21206
Pepaya;Ton;77629;346;6648
Melinjo;Ton;13561;2476;12043
Belimbing;Ton;2245;12965;11429
Jambu Biji;Ton;3059;4633;413
Manggis;Ton;18630;631;11565
Nangka;Ton;53633;41235;4315
Pisang;Ton;253265;340497;23579
Sawo;Ton;2758;873;558
Sirsak;Ton;7492;1875;553
Sukun;Ton;4557;54738;649
Petai;Ton;18663;55753;3092
