Provinsi;Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Provinsi;;
;2019;2020;2021
ACEH;99.59;99.56;99.64
SUMATERA UTARA;99.66;99.68;99.73
SUMATERA BARAT;99.79;99.77;99.80
RIAU;99.92;99.93;99.93
JAMBI;99.73;99.67;99.82
SUMATERA SELATAN;99.59;99.57;99.65
BENGKULU;99.69;99.70;99.88
LAMPUNG;99.17;99.30;99.49
KEP. BANGKA BELITUNG;99.16;99.07;99.18
KEP. RIAU;99.59;99.61;99.74
DKI JAKARTA;99.94;99.89;99.94
JAWA BARAT;99.85;99.90;99.91
JAWA TENGAH;97.82;97.97;98.19
DI YOGYAKARTA;98.83;99.02;99.30
JAWA TIMUR;96.72;96.79;97.11
BANTEN;98.83;99.11;99.31
BALI;98.11;98.34;98.78
NUSA TENGGARA BARAT;92.54;92.48;92.49
NUSA TENGGARA TIMUR;95.76;95.76;96.48
KALIMANTAN BARAT;96.19;96.46;96.59
KALIMANTAN TENGAH;99.92;99.91;99.93
KALIMANTAN SELATAN;99.68;99.66;99.72
KALIMANTAN TIMUR;99.76;99.74;99.82
KALIMANTAN UTARA;98.19;98.60;98.60
SULAWESI UTARA;99.88;99.84;99.86
SULAWESI TENGAH;99.47;99.44;99.50
SULAWESI SELATAN;95.78;95.89;96.04
SULAWESI TENGGARA;97.46;97.53;97.54
GORONTALO;99.33;99.33;99.35
SULAWESI BARAT;96.02;95.54;95.81
MALUKU;99.56;99.56;99.56
MALUKU UTARA;99.79;99.71;99.74
PAPUA BARAT;98.47;98.23;98.71
PAPUA;78.10;77.97;79.04
INDONESIA;98.22;98.29;98.44
;;;
Sumber : BPS;;;
Source Url: https://www.bps.go.id/indicator/28/1466/1/angka-melek-huruf-penduduk-umur-15-59-tahun-menurut-provinsi.html;;;
Access Time: March 2, 2022, 11:33 am;;;
